,precision,recall,f1-score,support
DUSTIN KIMURA,0.0,0.0,0.0,1.0
DUSTIN ORTIZ,0.0,0.0,0.0,1.0
DUSTIN PAGUE,0.0,0.0,0.0,0.0
DUSTIN POIRIER,0.0,0.0,0.0,8.0
DUSTIN STOLTZFUS,0.0,0.0,0.0,1.0
DWAYNE CASON,0.0,0.0,0.0,0.0
DWIGHT GRANT,0.0,0.0,0.0,0.0
DYLAN ANDREWS,0.0,0.0,0.0,0.0
EBENEZER FONTES BRAGA,0.0,0.0,0.0,0.0
ED HERMAN,0.0,0.0,0.0,2.0
EDDIE ALVAREZ,0.0,0.0,0.0,0.0
EDDIE GORDON,0.0,0.0,0.0,1.0
EDDIE SANCHEZ,0.0,0.0,0.0,1.0
EDDIE WINELAND,0.0,0.0,0.0,0.0
EDDIE YAGIN,0.0,0.0,0.0,0.0
